index,author,born,death
265,Ulysses Simpson Grant,1822,1885
266,Vachel Lindsay,1879,1931
267,Victor Hugo  ,1802,1885
268,Virgil,70,10000
269,Virginia Woolf,1882,1941
270,W.h.hudson,1841,1922
271,Walt Whitman ,1819,1892
272,Walter Raleigh,1861,1922
273,Walter Scott,1771,1832
274,Washington Irving,1783,1859
275,Wilkie Collins  ,1824,1899
276,Willa Cather,1873,1947
277,William And Ellen Craft,1826,1891
278,William Blake,1757,1827
279,William Butler Yeats  ,1865,1939
280,William Congreve,1670,1729
281,William Dean Howells,1837,1920
282,William Godwin  ,1756,1836
283,William Hickling Prescott,1796,1859
284,William James,1842,1910
285,William Morris,1834,1896
286,William Petty  ,1623,1687
287,William S.gilbert,1836,1911
288,William Shakespeare,1564,1616
289,William Thackeray,1811,1863
290,Xenophon,10000,10000
291,Zane Gray,1872,1939
